Creation_time_stamp,finished_game,finish_time_stamp,speed,point,validated_disk,perfect,great,ok,nb_click,missed_clicked,longest_streak,longest_grt_streak
2024-11-15 12:44:51,True,2024-11-15 12:44:59,5,0,0,0,0,0,0,0,0,0
2024-11-15 12:53:55,True,2024-11-15 12:54:42,14,1925,74,8,53,13,79,6,51,38
2024-11-15 12:58:06,True,2024-11-15 12:58:52,13,1370,68,5,37,26,73,5,35,25
2024-11-15 13:09:42,True,2024-11-15 13:09:50,5,0,0,0,0,0,1,1,0,0
2024-11-15 13:11:50,True,2024-11-15 13:12:14,7,365,22,0,17,5,25,3,17,12
2024-11-15 13:14:13,False,,,,,,,,,,,
2024-11-15 15:16:36,False,,,,,,,,,,,
2024-11-15 16:03:07,False,,,,,,,,,,,
2024-11-15 16:31:25,False,,,,,,,,,,,
2024-11-15 16:32:04,False,,,,,,,,,,,
2024-11-15 16:33:09,False,,,,,,,,,,,
2024-11-15 16:45:36,False,,,,,,,,,,,
2024-11-15 16:46:41,False,,,,,,,,,,,
2024-11-15 16:48:29,True,2024-11-15 16:49:14,13,1390,70,4,44,22,75,6,31,18
2024-11-15 16:49:36,True,2024-11-15 16:49:49,5,105,6,0,5,1,6,0,6,5
2024-11-15 16:51:57,True,2024-11-15 16:52:12,6,270,9,0,9,0,10,1,7,7
2024-11-15 17:08:36,True,2024-11-15 17:09:31,17,3240,100,12,63,25,103,3,90,70
2024-11-15 17:12:33,False,,,,,,,,,,,
2024-11-15 17:14:26,False,,,,,,,,,,,
2024-11-15 17:14:40,True,2024-11-15 17:14:47,5,0,0,0,0,0,0,0,0,0
2024-11-15 17:17:41,False,,,,,,,,,,,
2024-11-15 17:21:33,False,,,,,,,,,,,
2024-11-15 17:22:16,False,,,,,,,,,,,
2024-11-15 17:22:27,True,2024-11-15 17:22:36,5,30,1,0,1,0,2,1,1,1
2024-11-15 17:23:53,True,2024-11-15 17:24:01,5,0,0,0,0,0,1,1,0,0
2024-11-15 17:24:50,False,,,,,,,,,,,
2024-11-15 17:25:00,False,,,,,,,,,,,
2024-11-15 17:25:07,False,,,,,,,,,,,
